youtubeId,movieId,title,trailer_present,video downloaded,Durations,FPS,Width,Height,Aspect Ratio
18EKd4TaH0w,32019,Be Cool (2005),1,0,145,24,426,230,1.85
_ftZhiogzTY,32025,Walk on Water (2004),1,0,118,15,426,238,1.79
ElmnmSiexRE,32029,Hostage (2005),1,0,142,22,640,480,1.33
N8u2L-CqHX8,32031,Robots (2005),1,0,146,24,320,240,1.33
hLKuBn7_Clw,32153,Once Upon a Forest (1993),1,0,138,30,320,240,1.33
ewAYnbPBYxo,32160,Twentieth Century (1934),1,0,100,23,1472,1080,1.36
-AMLH3Cx7_w,32170,Chronicles (Crónicas) (2004),1,0,118,15,320,240,1.33
uPB-Rt2U7jg,32174,"Green Berets, The (1968)",1,0,176,29,854,480,1.78
BanSFjrqBEo,32291,Melinda and Melinda (2004),1,0,126,24,426,230,1.85
iv4SzMPlwp4,32296,Miss Congeniality 2: Armed and Fabulous (2005),1,0,146,29,1280,720,1.78
bu2Ub6up1lY,32298,Guess Who (2005),1,0,133,30,854,480,1.78
Wx5NTgtz6U8,32369,Panic in the Streets (1950),1,0,132,23,480,360,1.33
p8M12Ca2XgM,32371,Call Northside 777 (1948),1,0,112,23,1440,1080,1.33
zEzXQ3AEHqc,32381,Bells Are Ringing (1960),1,0,179,29,854,364,2.35
sVyRYjJoZfc,32395,Attack of the Mushroom People (Matango) (1963),1,0,127,23,320,176,1.82
SVK9sPBy6rg,32444,Carmen (1983),1,0,100,25,320,206,1.55
hTuU2LWdQlU,32460,Knockin' on Heaven's Door (1997),1,0,267,23,1920,816,2.35
SqESMMzdcZc,32469,We're No Angels (1955),1,0,288,29,480,360,1.33
cxLDAd0LnZw,32515,Walker (1987),1,0,95,30,470,360,1.31
oumV7GgPyfE,32525,"Earrings of Madame de..., The (Madame de...) (1953)",1,0,152,23,640,480,1.33
NTyRMfdDfc8,32554,Memories (Memorîzu) (1995),1,0,135,29,854,480,1.78
