id,transcription
100017," Who is it? It's Jeff. Are you leaving? Yeah. No. I have a girlfriend, so don't get your hopes up. Where is he from? He's from the suburbs of Boston. He's a lawyer at Random House. And he seems to really like me. I haven't seen you this excited about anyone in a long time. This is my little secret. You can't tell anyone. Hi. Where are you? Paul? Why are you then? Not now. Every New Year's you made a resolution to stop. But it never happens, Paul. After all of this, you're still my favorite person in the world. I want to spend the rest of my life with you, and I want our relationship to be forever. I want to be with you forever. I want to spend the rest of my life with you, and I want our relationship to make me feel stronger. Are you finished? Paul's a grown-up. He's going to work it out, or he's not, but you're not going to save him. You never were, and you aren't now. He said that I had ruined his life, and that he wasn't going to stay. We're not having sex. No! I'll come home tomorrow. You shouldn't leave now. I'm not leaving."
100032," This humble room is my studio. These are drawings from the first season of Pee Wee's Playhouse. I designed most of the puppets on the show. Here's my man, Dirty Dog. I wanted him to have his butt hanging out of his mouth that they wouldn't let us. It's a kid's show. But I became Randy. Yeah, smokin' is cool, Pee Wee. This is a prop from the Smashing Pumpkins video. Whoa! This is Peter Gabriel big time video. This is what happens when you get all proud of yourself and you're polishing your Emmy. Hehehehehehehe. Oh my Emmy! I've worn a lot of different hats. Painter, sculptor, cartoonist, puppeteer, set designer, art director, animator, illustrator. Kids mainlined it. He was imprinting their brain and they don't even know it. The little Zach Galifianakis, the little Snuffy Smith, the little Unibomber. Wayne has touched people in ways that they don't even know. My mission is to bring humor into fine art. Ladies and gentlemen, the world's largest George Jones head. I think when you're an artist, you want to put your stuff out there just because of the exuberance of being creative and then you feel bad about yourself. So I see that in Wayne's work. Beauty is embarrassing. It's beautiful out here. It's so beautiful it hurts my feelings. I saw Wayne's first New York show and I was astonished. It really just blew me away and I had to find out more about it and him. This is called Sexy Paintings by Sexy Painters for Sexy People. And I always love that there's a little teeny ghost of the red underpaintings. There's nothing amateurish about anything that he does. I learned that art could be a 24-7 lifestyle. I learned that art could be fun. I've been trying to make beauty my whole life. If this can work, there's hope for us all. I want to try everything I can. I want to take this painting idea and see if you can do a puppet version of it. I want to take the cartooning and turn it into a set. I want to take the set and turn it back into a painting. That's a true pioneer. That's a person who is never satisfied, always wants to know how do I understand myself more. Ladies and gentlemen, Wayne White. Do what you love. It's going to lead to where you want to go."
100034," I'm going to try. No. She does maybe never hurt the body though. She's been more fat. Oh, oh, she really? Yeah. There's some cute girls, huh? There's some nice ones. Wow. They love skinny girls in Japan. She has a fresh, young face. She looks young, almost like a pubescent girl. Say hello, Nadia. Hello, my name is Nadia. I'm 13. So I look at beauty and I think of young girls, beautiful. Many, many questions, but don't answer. I don't hear her answer. Why?"
100083," You're black, they're white, this ain't hockey. There's something I want to ask you. There's something I'd like to ask you. Will you f*** on me? I want you to be my first. Truth or dare? Dare. See that blonde kid over there? I dare you to blow out escandals before he gets a chance to. They homeschool their son. It's very important to us that Kevin has a normal and complete high school experience. You dropped your books, fart face. Hey guys! Come check out this kid's weird... Wow. Why didn't you call me? Wait a minute, did I not? He cries after sex, you know that? Like a baby. Oh my so so dark because you saw some bats when you were little, you pussy. Surprise! Caught you a leprechaun. Magically delicious now. This builds your superior height. The iBank is a high fidelity music player. Kids are sticking their... You know what? In the vaginal port. The band then mingles their... Testing. Any red flags? Hey. Can I please come in? Debbie Clark's here, the girl you asked out. It's gonna be awkward. No. No wait. Mom. Sorry. She's having an appearance! What do I do? We're just gonna have to plug it up. I got frozen peas and a sponge. Oh no! No no no no. I can't believe you had sex with that hobo from Magic Bean. He was a wizard! Now I understand. Just when I thought it couldn't get more offensive. Boom! How many times do I have to tell you? You're black, they're white! So coach what you're saying is we just walk with the Lord. The Lord! You did his part already! He made you black!"
100159," Show me your world, Chris. Well, I thought we'd start with Christchurch Museum. Great. Dear Mum, Yorkshire is lovely, not like you said at all. They can smile and they do sell my pasta sauce. The caravan made is quite short, but Chris is a sensitive lover. Ah! Ah! Ah! Ah! Hope you can be happy for me. Love, Tina. Yeah, good girl. You are going to pick that up. I didn't do that. If you don't pick up this excrement immediately, then I'm going to have to inform the National Trust. Ooh! Report that to the National Trust, mate. I don't want this to ruin our holiday. Get in. I've never thought about murdering innocent people before. He's not a person, Tina, he's a daily mail reader. Say one word and it's... Sorry. I get it, it's just thinking outside the box. They're worth tears and that's nothing. Oh, saint of love... The police are pursuing a ginger-faced man and an angry woman. Ah! Sit! You're a liability. You're just like your mother. Has he gone wrong? Yeah, a bit. You didn't let him see you do number two's, did you, Tina? The power of love... We both said what a nice couple we thought you were. ..and I love her. I can fly! Everyone else seems to find it so easy to express themselves. I mean, even you've got your nitty-nitty. ..of love... Have you had a nice holiday? Yeah, I had a brilliant holiday. ..the skyscraping door... Ha-ha! Fuck you!"
100163, You Me and my sister we have a past we almost died at the hands of a witch Oh that past made us stronger we've gotten a taste of blood which blood And we haven't stopped since My name is Gretel and this is my brother Hansel I'm not going to have you telling me what to do How do you best kill a witch cutting off her head tends to work hate that one The last two weeks we have five children taken from us which does not come out in the open like that I Don't think we're hunting witches there's something else going on here We have to find those kids Start with this shoot anything the moves You got my invitation I have my sister Last new Oh You got it kidding me
100272, I'm going to be a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a
100304," From an executive producer of Snatch. For a guy to get along in this world, you have to be very, very careful. So where are we off to? I'll let you know when we get there. Our targets. Mr. Gleaters, why don't you come out and talk to me? There are rules. Try not to look in his eyes. Think of somebody you hate so much, you'd be willing to kill it. There are no mistakes. All comes down to the same thing. Details. Afternoon, darling. I'm going to get you, darling. What started as just a hit... Don't hang up. You have something. I want it back. Help! ...could end with a bang. Stop! Stop! You're a lousy shot. Academy Award nominee Tim Roth... Get the fucking car! The liability. How fast can you make this thing go? This is why I work alone. What? Oh!"
100365," There's a way you feel when you know you're unwanted. That's how I feel. I have to pretend to be what I'm not. I told him that if I'm with you then I feel as if you're supposed to be my wife. There's no longer a debate in Uganda. We don't recognise homosexuality as a human right here. The anti-homosexuality bill which was tabled in parliament proposes life imprisonment for gay activity and death for aggravated homosexuality. Homosexuals, they eat each other's rectum. They eat their poo-poo. Americans and Europeans. They want us to eat their poison of homosexuality. We're saying no. I received another letter from the Archbishop. The Diocese do launch a vigorous crusade against all forms of homosexuality. When the religious white people from America came, they claimed that we are recruiting young children in schools. It's when they formed the anti-gay coalition. It's the rainbow. It's our colours. I'm the very first gay man to be open in Uganda. I'm a chapter professional. I went to one of the best schools and here I am. I was like, I'm attracted to women. I'm infected with HIV. AIDS. What the hell is this? He used to find me doing something with a girl. And he was like, no, that is not right. I'm going to teach you what you're supposed to do with a boy. I would swallow the heap of heels. I wanted to die softly. There is this woman now, is she a creature? Is she a human being really? It was at the comments of the people. The first outing which came up in the papers was 2007, where we had this list of the top homosexual men in Kampala. They mentioned the location where I live. Actually, I remember I cried. I cried, yeah. If this bill passes, they say within 24 hours, someone should report the person who used to be gay. We are really going back into our ministerial regime. We are going to keep on fighting until we see a liberated, deep lesbian, gays, bisexual, transgender people in the United States. If what they're doing is in for... It's not in for. The ones I've met are naturally a born homosexuals. Now we are pushed to dialogue by force. We will hold this action for enforcement of these human rights. I know he is struggling, but people like David can come out and speak. Sooner or later, they will be free. Prime Minister Gordon Brown came to see me. And what was he talking about? Gays. Mrs. Clinton rang me. What was she talking about? Gays. I sleep here alone. Sometimes I fear if they come and get me, I will be alone. Being gay does not mean that God is not in me. He is in me. I see his love. If we are against the oppressed, they may think God is also against it, which is not true. We will stand for the truth. This call today that shows that indeed justice is possible in this country. And we will continue. Now we have to keep on fighting. We know what you want. Bye bye. Arrabbiata. Yesterday, gay rights activist David Katotisulu was attacked at his home by a non-assailant. David is killed! The woman who killed us, the woman who died, we will kill her! We are coming here to take our friend to his creator. Who are you to judge? God did not punish David Katot. People murdered him falsely in the name of God. Blue Angle Scott Liveley, there is blood on your hands. It's a reality. Somebody spilled his blood, his brains. The mattress. Letters from Obama are not enough. As we grieve, we can't forget that we've been empowered through the death of David. We will work to take back this struggle. It's time for us to fight. We all want to know our stories. That's why we decided to come out, no matter what. They kept on saying we are not here. But of it, we are here. You know, the synonym of the queers here, K-U-C-H-U. K-U-C-H-U"
100390," You When that comes up we got to cut the car swipe it one more time nothing wrong with that car I got cut the car don't cut the car Go pay your bills Randy. It's Sandy Sandy. That's a number. Don't know ahead You're so sandy or me number of something. I bet that was hurtful Patterson you missed your court date in Florida three days ago. I've never even been to Florida Who much that says the criminal who stole your identity? boy, he's a That a woman sandy bigelow Patterson What do you know you go down you could get her oh no she'd have to be standing right here to do you any good That's the new standard of police work. What if I go down to Florida and bring her back here? You would have to clear my name right daddy the TV's broken. I'm gonna fix it. That's why I have to go on this trip This is crazy you don't chase criminals I can handle her she's like a hobbit going after Bilbo gotcha Sandy bigelow Patterson we can do it the hard way or the easy way. I'd like to pick the easy way I Love that guitar good sue you that was not the easy way you steal money from Paulo, holy Come with me to Denver and I won't press charges you're gonna love it. There's nobody shooting at you there You got nothing. Hey, I can do this all day with you Are you Kenyan? Everything okay still on course honey. We gotta go. I'm gonna tell you what's going on sandy here likes to watch Oh, no, no, no, no, I can't let this woman out of my sight This is awesome Diabolical thanks That's not a compliment I know You got hit by a car are you even human trick is to just relax your legs read it on wiki how How about some music"
