youtubeId,movieId,title,trailer_present,video downloaded
K26_sDKnvMU,1,Toy Story (1995),1,0
3LPANjHlPxo,2,Jumanji (1995),1,0
rEnOoWs3FuA,3,Grumpier Old Men (1995),1,0
j9xml1CxgXI,4,Waiting to Exhale (1995),1,0
2GfZl4kuVNI,6,Heat (1995),1,0
twTksx_lWB4,7,Sabrina (1995),1,0
-C-xXZyX2zU,8,Tom and Huck (1995),1,0
lcOqUE0u1LM,10,GoldenEye (1995),1,0
UrC75wUKoFM,11,"American President, The (1995)",1,0
tVdn8JH91Dg,12,Dracula: Dead and Loving It (1995),1,0
dO2LWKpeyI8,14,Nixon (1995),1,0
EJXDMwGWhoA,16,Casino (1995),1,0
DfqPjRMsRP0,19,Ace Ventura: When Nature Calls (1995),1,0
yNLaTtpovys,21,Get Shorty (1995),1,0
lsmXhM4yfU0,22,Copycat (1995),1,0
OOTTvrb4JZI,23,Assassins (1995),1,0
gHl-UHu2-lM,24,Powder (1995),1,0
UMlYWZgCIgo,25,Leaving Las Vegas (1995),1,0
RQLVzTtt2Ws,27,Now and Then (1995),1,0
lYSHAyODiGs,28,Persuasion (1995),1,0
toH1vzAmDBI,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1,0
mQf3Ngg2cks,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1,0
gA-5nLQCmW8,31,Dangerous Minds (1995),1,0
15s4Y9ffW_o,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1,0
tVxeoUtVF0o,34,Babe (1995),1,0
ccq3f9-lQyM,35,Carrington (1995),1,0
qpQ-CnutDy0,37,Across the Sea of Time (1995),1,0
6PKq7YSpO6c,38,It Takes Two (1995),1,0
XuHEa7pWAQY,39,Clueless (1995),1,0
OXc0-EME0C8,41,Richard III (1995),1,0
CvsAuHYBgEQ,43,Restoration (1995),1,0
JHIfHL5UgFs,44,Mortal Kombat (1995),1,0
Y1uPXA1ceNo,45,To Die For (1995),1,0
K5_2VgJUSBA,46,How to Make an American Quilt (1995),1,0
SpKbZ_3zlb0,47,Seven (a.k.a. Se7en) (1995),1,0
DSf_pVG8QZM,48,Pocahontas (1995),1,0
J5mszOh_Qis,49,When Night Is Falling (1995),1,0
oiXdPolca5w,50,"Usual Suspects, The (1995)",1,0
K4MltltKq4k,54,"Big Green, The (1995)",1,0
jG9pUsmjAO8,55,Georgia (1995),1,0
ThH8WocPRM0,57,Home for the Holidays (1995),1,0
0or7hSz-7gc,58,"Postman, The (Postino, Il) (1994)",1,0
yoIBXVm_B9Y,60,"Indian in the Cupboard, The (1995)",1,0
jY56N6irNCk,61,Eye for an Eye (1996),1,0
JYoWGIrXiz0,62,Mr. Holland's Opus (1995),1,0
JAAhQwcJ20U,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1,0
Psql1jhaIiA,64,Two if by Sea (1996),1,0
MubmJ2jwvOM,66,Lawnmower Man 2: Beyond Cyberspace (1996),1,0
9gQuxMD5jzU,70,From Dusk Till Dawn (1996),1,0
YC3npzqwXcs,71,Fair Game (1995),1,0
hck5I4F1OgU,73,"Misérables, Les (1995)",1,0
GJ6-ymSjShg,74,Bed of Roses (1996),1,0
1AeAvE3FxQ8,76,Screamers (1995),1,0
xjPZbigB4NA,77,Nico Icon (1995),1,0
kDdwRURSEzI,78,"Crossing Guard, The (1995)",1,0
Awng-jZnkoY,79,"Juror, The (1996)",1,0
jL4l_tyPC0Y,80,"White Balloon, The (Badkonake sefid) (1995)",1,0
i1o_PO3ridY,81,Things to Do in Denver When You're Dead (1995),1,0
qiAyu1qKkfE,82,Antonia's Line (Antonia) (1995),1,0
UwkAOHd8WRU,83,Once Upon a Time... When We Were Colored (1995),1,0
FmYKCjilWAs,84,Last Summer in the Hamptons (1995),1,0
bdqnz-FtIog,85,Angels and Insects (1995),1,0
FjPueQfeQLs,87,Dunston Checks In (1996),1,0
BRgCb1QjOv4,88,Black Sheep (1996),1,0
o6trRzB8fiA,89,Nick of Time (1995),1,0
qgHHBYzgL-s,92,Mary Reilly (1996),1,0
0AvkCamSj5o,94,Beautiful Girls (1996),1,0
vBS92ui_h74,96,In the Bleak Midwinter (1995),1,0
M2Wl4li8TFo,97,"Hate (Haine, La) (1995)",1,0
oA7M9qSJKrE,99,Heidi Fleiss: Hollywood Madam (1995),1,0
hspUSez-rYY,101,Bottle Rocket (1996),1,0
ppsp24yW7ac,103,Unforgettable (1996),1,0
y1emDAYCfVQ,104,Happy Gilmore (1996),1,0
Up-oN4NtvbM,105,"Bridges of Madison County, The (1995)",1,0
KLUdKoCganU,107,Muppet Treasure Island (1996),1,0
foBVdhrrOJ8,108,Catwalk (1996),1,0
1cnoM8EiGGU,110,Braveheart (1995),1,0
cujiHDeqnHY,111,Taxi Driver (1976),1,0
q7vg8uGzLts,112,Rumble in the Bronx (Hont faan kui) (1995),1,0
KRrUiYxr5dc,113,Before and After (1996),1,0
S82xxKIURF4,114,Margaret's Museum (1995),1,0
HFMnh-n7U7w,116,Anne Frank Remembered (1995),1,0
Xw6F07ChJzQ,117,"Young Poisoner's Handbook, The (1995)",1,0
TNTV9Txit-Q,118,If Lucy Fell (1996),1,0
9uBpp-qIIp8,119,"Steal Big, Steal Little (1995)",1,0
Sr60MOJ_fhc,122,Boomerang (1992),1,0
ZkyRcGGeq8E,123,Chungking Express (Chung Hing sam lam) (1994),1,0
b0nE4KWZ4Io,125,Flirting With Disaster (1996),1,0
hgs5CgnBJFs,126,"NeverEnding Story III, The (1994)",1,0
_d7KNUnJF4o,129,Pie in the Sky (1996),1,0
cooYPruKl78,130,Angela (1995),1,0
2vrYABGERJw,131,Frankie Starlight (1995),1,0
83kTQ6chG4o,141,"Birdcage, The (1996)",1,0
QEFxzbRLOmg,144,"Brothers McMullen, The (1995)",1,0
ZYxO2ODedhA,145,Bad Boys (1995),1,0
Uwnm9QAwhzE,146,"Amazing Panda Adventure, The (1995)",1,0
W5eVnwe6Pxs,147,"Basketball Diaries, The (1995)",1,0
HPBkA3GuvcY,148,"Awfully Big Adventure, An (1995)",1,0
GLhu37ozFx8,149,Amateur (1994),1,0
e3ZtOS4MCkk,150,Apollo 13 (1995),1,0
w0-2kzujLA8,151,Rob Roy (1995),1,0
0wgIIsXz-Vk,152,"Addiction, The (1995)",1,0
b_KllgySsPo,153,Batman Forever (1995),1,0
72ue1Jqy01E,156,Blue in the Face (1995),1,0
ayOlQ9If_cA,157,Canadian Bacon (1995),1,0
BBEB9OSfeCA,158,Casper (1995),1,0
YsFUoioGePc,159,Clockers (1995),1,0
icu59hembVk,160,Congo (1995),1,0
cc0Az3IJFOU,161,Crimson Tide (1995),1,0
MdZaOB03b1U,163,Desperado (1995),1,0
50EVm04iPLk,164,Devil in a Blue Dress (1995),1,0
gcsk7C7FfQM,165,Die Hard: With a Vengeance (1995),1,0
qqOPd5jKYG4,169,Free Willy 2: The Adventure Home (1995),1,0
Ql1uLyuWra8,170,Hackers (1995),1,0
U_8BVWHSU_o,172,Johnny Mnemonic (1995),1,0
43-BefmjMFg,173,Judge Dredd (1995),1,0
U9a5tZSKDOU,175,Kids (1995),1,0
YyJvOuxZDHY,177,Lord of Illusions (1995),1,0
_1cjHboN8Mw,178,Love & Human Remains (1993),1,0
BzJaAn20O_g,179,Mad Love (1995),1,0
_eVo7aBze1w,180,Mallrats (1995),1,0
yVJYRsCIzWE,181,Mighty Morphin Power Rangers: The Movie (1995),1,0
Ss5Hw3uiArs,183,Mute Witness (1994),1,0
3L5f9EXKE5I,184,Nadja (1994),1,0
