youtubeId,movieId,title,video downloaded,trailer_present,Durations,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
K26_sDKnvMU,1,Toy Story (1995),0,1,90,194,0,1,1,3,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,7,0,0,0,2,1,0,3,0,8,0,0,0,2,6,1,0,0,0,0,0,0,3,0,9,0,0,1,0,0,1,1,3,1,0,3,0,0,0,0,1,33,0,1,0,5,0,1
3LPANjHlPxo,2,Jumanji (1995),0,1,167,629,0,43,0,3,0,0,5,0,2,0,0,0,0,12,1,5,12,1,4,55,1,9,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,6,77,40,0,6,0,1,18,2,1,11,4,3,0,2,0,0,0,9,16,14,4,0,0,3
rEnOoWs3FuA,3,Grumpier Old Men (1995),0,1,111,709,0,11,0,0,0,0,2,26,0,4,2,0,0,0,9,13,0,0,1,0,0,0,0,0,3,1,8,0,0,0,0,0,0,0,0,0,0,0,48,2,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,0,0,0,7,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
j9xml1CxgXI,4,Waiting to Exhale (1995),0,1,159,1141,0,23,0,0,0,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,2,63,0,1,0,0,0,0,0,0,0,0,0,33,40,19,0,0,0,25,0,0,0,0,0,0,0,0,0,9,63,28,34,27,17,0,9,1,0,9,0,11,0,0,0,0,0,0,2,0,0,0,0,0
2GfZl4kuVNI,6,Heat (1995),0,1,147,1049,0,115,0,12,5,1,11,0,9,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,5,127,0,0,0,0,0,0,0,0,0,1,0,21,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,20,0,0,4,0,4,0,0,0,0,2,0,0,0,1,0,0,4
twTksx_lWB4,7,Sabrina (1995),0,1,169,1453,0,127,0,0,0,0,3,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,14,277,10,0,0,0,1,0,0,0,1,3,0,27,87,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,32,0,8,0,0,22,0,0,0,16,0,1,0,0,0,0,0,12,0,0,0,0
-C-xXZyX2zU,8,Tom and Huck (1995),0,1,59,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UrC75wUKoFM,11,"American President, The (1995)",0,1,169,1634,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,357,0,0,0,0,0,0,0,0,0,0,0,25,44,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,35,16,2,108,0,16,3,0,1,0,13,0,0,0,0,0,0,1,0,0,0,0,0
tVdn8JH91Dg,12,Dracula: Dead and Loving It (1995),0,1,119,708,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,2,0,0,0,0,0,0,0,0,0,168,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,0,21,0,0,0,4,0,0,0,1,0,0,0,0,0,0,25,0,0,1,0,0
dO2LWKpeyI8,14,Nixon (1995),0,1,272,2157,0,2,1,19,0,0,7,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,535,0,0,0,1,1,0,0,0,0,0,0,10,37,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,10,15,0,8,0,43,1,1,1,0,1,0,0,0,0,0,0,8,2,0,0,0,1
EJXDMwGWhoA,16,Casino (1995),0,1,182,1539,0,122,2,10,1,2,6,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,124,0,0,0,0,15,0,0,1,0,0,0,1,26,28,0,0,0,0,0,0,0,0,0,0,1,0,1,12,14,8,3,0,3,0,33,6,0,1,1,5,0,13,0,0,0,1,1,6,17,1,0,0
DfqPjRMsRP0,19,Ace Ventura: When Nature Calls (1995),0,1,118,946,0,32,0,1,0,0,49,3,1,2,0,0,0,10,2,23,2,1,0,0,1,0,10,1,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
yNLaTtpovys,21,Get Shorty (1995),0,1,154,1275,0,138,2,13,0,0,20,8,2,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,2,75,3,0,0,0,0,0,0,0,1,0,0,3,30,13,0,1,0,0,2,0,0,0,0,0,0,0,0,1,124,100,175,24,25,0,1,0,0,4,0,1,0,0,0,0,0,14,0,0,0,0,0,21
lsmXhM4yfU0,22,Copycat (1995),0,1,119,668,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,0,1,0,3,28,0,1,3,10,9,0,0,0,5,1,2,0,1,6,0,0,0
OOTTvrb4JZI,23,Assassins (1995),0,1,161,1040,0,70,0,0,0,2,0,0,0,0,0,1,0,22,0,2,0,0,0,0,0,0,0,0,1,4,56,3,0,1,0,0,0,2,0,0,0,1,13,19,7,0,0,0,0,0,0,0,0,0,0,1,0,5,0,12,0,14,0,0,0,9,11,0,1,0,18,0,0,0,0,0,0,4,7,0,0,0,0
gHl-UHu2-lM,24,Powder (1995),0,1,242,1273,1,92,2,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,37,12,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,1,0,0,0,0,0,0,0,0,0,4,4,5,0,6,25,0,1,2,0,0,1,0,16,0,11,0,0,2,0,49,4,0,0,0,0
