youtubeId,movieId,title,transcription
K26_sDKnvMU,1,Toy Story (1995)," Sergeant? Yes, sir. Establish a recon post downstairs. Code red, repeat. We are at code red. Recon plant Charlie. Execute. Move, move, move, move, move. It's a big one. Walt Disney Pictures presents a totally new animated motion picture event. Star Command, come in. Do you read me? The story of two toys. There seems to be no sign of intelligent life anywhere. Hello. Oh, yeah. Headed for a showdown. My name is Woody. This is my spot. No! I am Buzz Lightyear. I come in peace. You are a child's plaything. You are a sad, strange little man. And playing by their own rules. Draw. Fuck me again. I don't like confrontations. Buzz, look, an alien. Where? You're mocking me, aren't you? Oh, impressive wingspan. Very good. Oh, what? What? He can't fly. Yes, I can. Can't. Can. Can't, can't, can't. This holiday season, the adventure takes off when toys come to life. To infinity. And beyond. Toy Story. Look out! Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can. Can."
3LPANjHlPxo,2,Jumanji (1995)," I'm glad you decided to buy this place. I'm sure that you and your kids will be very happy here. Every house has secrets. Everybody in town thinks the place is haunted. But what happened in this house? Little Alan Parrish, he just vanished about 25 years ago. It is a mystery that began a long time ago. When Alan Parrish was just a young boy who made an incredible discovery. Jumanji, you wanna play? Alan, look. In the jungle you must wait until the dice read five or eight. Ah! What's happening to you? Alan! No! All the dice! 26 years later, Peter and Judy Shepard are about to play the same game. And make an incredible discovery. Ha ha ha! Of their own. Are you Alan Parrish? Yeah. Oh my gosh. Everyone thought you were dead. Now, They were shaved before. they must roll the dice. You're playing the game I started in 1969. I'm gonna have to play. and finish the game together. It's not my turn. Whose turn is it? Sarah Whittle. Alan. 26 years ago, we started playing a little game. Whoa! God! Sarah! Alan! I have been over 2,000 hours in therapy, convincing myself that this doesn't exist. Sarah. We're all gonna sit down. We're gonna finish it. Now for an update on the extraordinary events unfolding in Bransford, New Hampshire. Tristar Pictures presents Robin Williams. Jumanji."
rEnOoWs3FuA,3,Grumpier Old Men (1995)," Moron! Puts! Crankier. If my dog was as ugly as you, I'd shave his ass and teach him to walk backwards. And grumpier than ever before. Come on, let's see what you're made of! Age has not brought them wisdom. Instead, it's brought them something lonely more. far more desirable. Complimental on how great she looks. Already got that covered. Let me hear it. There may be lots of fish in the sea, Maria, but you're the only one I would like to mount over my fireplace. That's not bad. I haven't been with a man for a long time. Me neither. They're not getting older. They're getting luckier. But just when he thought he'd hooked the catch of a lifetime, I think I'd like you better before you are getting any. she takes over his favorite bait shop. You should see the signs she put up, honey. Stop moving. If Max could see me now, I'd never live it down. Jack Lim, Walter Mathau, and Margot. They're all in love. They're all in love. Signore. And Mark and Sofia Lorette. Buon appetito. Should we ask her for some garlic bread? I'd rather kiss a dead moose's butt. So I'll call you? Grumpier, old man. When you say we go back to my place, I'll show you my cannelloni. Well, you gotta stick with what works."
j9xml1CxgXI,4,Waiting to Exhale (1995)," Savannah, Bernadine, Robin, Gloria. Four friends determined to face reality. The one man I love is marrying God a kid. You tell my baby girl that her daddy loves her. To find the perfect love. Michael is not pretty, but he's available. You get the best loving in the world when a man is begging. Oh, my God. To take control of their lives. I'm leaving you for her. You wait a minute. I give you 11 years of my life and you're telling me you're leaving me for another woman. And to make dreams come true. Ooh, ooh. Would you like to have dinner with us tonight? There's just leftovers. Collard greens, some cornbread, some candied yams, a little potato salad, fried chicken, peach cobbler, fruit slices of ham. I have no idea what I'm doing. I like that. I like a woman with a little meat on her bones, you know? Ooh, give me some. 20th Century Fox proudly presents. But I have to admit, I haven't seen anything as splendid as you since I've been here. Okay, you're all, hold on now, hold on. You don't have to give me that look. Whitney Houston. I know if I left right now, it would be the wrong time. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I know if I left right now, it would be the wrong time. So we're gonna have to wait a little bit longer than I expected. You see, the more I think about it, the more I look at you, you look like the scum of the earth. Angela Bassett. I need somebody to hold me, even if it is a damn lie. Lila Rashaun. Does he think he just did something here? I coulda had a V8. And Loretta Devine. Oh God, I hope he's not watching me walk away. All right. He's watching. In a story of the challenges that make us stronger. I always thought if I gave him what he needed, he'd give me what I needed. You know, some of us are still on that dream trip, girl. And the friends that get us through it all. You're a half-way there Yeah Last one touch you Waiting to exhale. Directed by Forrest Whitaker. You'll find your point when You will exhale"
2GfZl4kuVNI,6,Heat (1995)," He's here. I can feel it. You search for the scent of your prey and then you hunt them down. That's the only thing you're committed to. It keeps me sharp on the edge where I gotta be. You want to be making moves on the street, allow nothing to be in your life that you cannot walk out on in 30 seconds flat if you spot the heat around the corner. My life's a disaster zone because I spend all my time chasing guys like you around the block. I do what I do best. I take scores. You do what you do best, trying to stop guys like me. You've been walking through our life dead. All I am is what I'm going after. From the Godfather to Scent of a Woman. What have we got? From Raging Bull to Goodfellas. Soon they got our phones, soon they got our houses, soon they got us. Their performances have created a legacy of landmark films. I want full surveillance. That's 24 hours, around the clock we never close open seven days a week. Now for the first time, America's two most electrifying actors collide. With this guy there's more sheep we should pass. Your bank is worth the risk. We should take it down. 12.2 million. You're up. This crew is good. It ain't worth the risks you take. What good risk versus reward, baby? You're fugitive number one with a bullet. I'm double the worst trouble you ever had. If I'm the head, I gotta put you away. I won't like it, but I'll tell you, you are going down. What if you do got me boxed in, and I gotta put you down? Because no matter what, you will not get in my way. I will not hesitate for a second. Al Pacino, Robert De Niro, Bell Kilmer in a Michael Mann film. Heat."
twTksx_lWB4,7,Sabrina (1995)," Once upon a time, in a mansion on Long Island, in a world of money, all work and no play made Linus Larrabee a billionaire. I just don't feel like buying any more networks this year. There's never anything good on. All play and no work made his brother David a different kind of billionaire. You guys work Sundays now, huh? It's Wednesday, David. I would like to propose a toast. Not only is this the joining forever of two gorgeous people, but two gorgeous companies. And the Larrabee's were about to live happily ever after when someone made an unexpected appearance and awakened something magical in all of them. Hello. Hello, Sabrina. Sabrina? You look all grown up. Sabrina? Why does he keep saying that? She's like a sister to him, Patrick. I have a sister. That's not how we dance. It's right in front of your future in-laws. You are hustling the chauffeur's daughter. There's something about Sabrina. I know this sounds crazy, but I really think that I'm falling in love with her. Hi. I don't want him trying to break off the engagement. This whole thing happened in 24 hours. I can make it unhappy. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I got a surprise for you. I got one for you, too. Have you ever heard me referred to as the world's only living heart donor?"
-C-xXZyX2zU,8,Tom and Huck (1995)," And where do you think you're going? I'm just running away from home. Oh, Dad? Jonathan Taylor Thomas and Brad Renfro are two guys who go looking for adventure. But when your names are Tom Sawyer Hey, Becky. Hey! and Huck Finn, Engine Joe's on the move. Why are you scared of nothing? AHHHHH! No ordinary adventure is gonna do. It's a treasure map. What if we could get the map? First I could see him just one more time. They think I'm dead. And I'd kiss him. Right in front of everybody. The original bad boys are back. Hey, Becky. Tom and Huck"
UrC75wUKoFM,11,"American President, The (1995)"," The president has asked me to convey to you that he's sending his energy bill to the floor with a call for a 10% reduction. The president's expecting our full support. Yes, he is, Sydney. The president's dreaming, AJ. The president has critically misjudged reality. If he honestly thinks that the environmental community is going to whistle a happy tune while rallying support around this pitifully lame mockery of environmental leadership, then your boss is the chief executive of Fantasyland. Good morning, Mr. President. How are you today? I couldn't be better. My apologies for the interruption. Mr. President, I don't know what to say. I'm speechless. All evidence to contrary. What would happen if I called Sydney Wade and asked her to be my date at the state dinner on Thursday evening? The president can't just go out on a date. I'm having dinner at the White House. I'm having lunch at the Kremlin. I don't know what happened. One minute I was calling him a mockery of an environmental leader. The next minute I had a date. She didn't say anything about me. Well, no, sir, but I can pass her a note before study hall. Would you like to dance? Yeah, I guess. I mean, yes, sir. I'd love to. Never mind that she is the hired gun of an ultra liberal political action committee. And never mind that his 12 year old daughter is sleeping down the hall. Lucy, are you okay with this? Am I having dinner with a lady? Dad, it's cool. Just go for it. Never mind any of that, folks. My name is Bob Rumsson and I'm running for president. In the past seven weeks, 59% of the country has begun to question your family values. This poll doesn't talk about my presidency. This poll talks about my life. I gotta nip this in the bud. This has catastrophe written all over it. Sidney, the man is the leader of the free world. He's brilliant. He's funny. He's an above average dancer. Isn't it possible our standards are just a tad high? Do you think there will ever be a time when you can stand in a room with me and not think of me as the president?"
tVdn8JH91Dg,12,Dracula: Dead and Loving It (1995)," This is the frightening and shocking tale of Count Dracula. Oh! Vampires do exist. This one we face is unlike any other. He can change the most innocent of humans. Oh Jonathan, let me kiss you. But you see, I'm British. So are these. Women are rendered powerless under his spell. Stand up. Not you. Sit. You stand. No, sit. No, stand. Now walk to the terrace door. Watch out! His evil desire has no end. She's alive? She's not a faradja. She's Italian? Up there! Make no mistake. He must be stopped. What even? If she dies, a victim of this unspeakable creature, she will become one herself. What? She will become one herself. Dracula, dead and loving it. Ah, it's good to be dead."
dO2LWKpeyI8,14,Nixon (1995)," His roots were humble. I grew up here on a little lemon ranch. It's the poorest lemon ranch in California, I can assure you. Richard, come with me, will you? My dad sold it before they found oil on it. His ambition's huge. Then it is time for new leadership for the United States of America. Triumphant in victory. I always underestimated Nixon, see? I always underestimated him. Bitter in defeat. You won't have Nixon to kick Ron anymore. He changed the world. In one stroke, the balance of power has shifted to our favor. Lost a nation. These kids are useless. Go on, get him! And paid the price of power. Others may hate you, but those who hate you don't win. Unless you hate them. Then you destroy yourself. No, we can't keep a damn secret in this government. They're stealing papers right out of this office. Now we can create our own intelligence unit right here inside the White House. We got the press this time. We got the big ball. We're back. Do you really want this stick? Then I'll be there for you. And we are gonna win this time. I can feel it. Yes, there are divisions in this country. That's because you created them. No young man who a great hero is, Abraham Lincoln. He brought this country together. I love that man. I love him. Daddy? You're the most decent person I know. They don't know the real you. If there's anyone in this country who knows more than me, it's Hoover. Why do you think Kisinter is taping all the old calls for history? There's a cancer on the presidency and it's growing. Do not tell a lie, Richard. If I were to open my mouth, all the dominoes would fall. People gotta know whether or not their president is a crook. Well, I am not a crook. We're just not going to buckle to these people. Dead kids, how the hell do we ever give the Democrats a weapon like this? I mean, if Cambodia doesn't work, we'll bomb Hanoi if we have to. Yeah, that's right. If necessary, I'll drop the big one. Well, this is sudden death, gentlemen. We're gonna get him on the ground and stick in our spikes and twist and show him no mercy. Anyone who screws with us, his head comes off. You got that? Aren't you forgetting who puts you where you are? American people put me where I am. Well, that can be changed in a heartbeat. Sir, Congress is considering four articles of impeachment. The charges are really very serious, sir. One abuse of power. It took me a long time to fall in love with your dick, and it doesn't make you happy. You want them to love you. Two obstruction of justice. They never will. Three failure to cooperate with the Congress, sir. How much more is it going to cost? When do the rest of us stop paying off your debts? Mrs. Nixon's finished. He's completely lost touch with reality. And last, bombing Cambodia, sir. They can't impeach me for bombing Cambodia. The president can bomb anybody he likes. Dick, sometimes I understand why they hate you. Richard, strength in this life, happiness in the next. Only if you've been in the deepest valley can you ever know how magnificent it is to be on the highest mountain. For man doesn't cry. I don't cry. We fight. When they look at you, they see what they want to be. They look at me. They see what they are."
